id,verb_id,tense,person,pronoun,is_regular,correct_stem,correct_ending,distractor_stems,distractor_endings,aux_stem,aux_ending,distractor_aux_stems,distractor_aux_endings,rule_summary,explanation_translations
22c11791-5cc9-4747-a756-5fb86caf14c9,2c02b05a-b405-4525-a017-4b55ee872f26,Futur Simple,il,il,FALSE,aur,a,"{""av"",""a"",""ser""}","{""as"",""ai"",""e""}",,,,,Simple tense; irregular stem 'aur-' + ending 'a'.,"{""en"":""For 'il', the future ending is 'a' added to 'aur-'."",""zh"":""对于 'il'，将来时词尾是 'a'，加在 'aur-' 后。"",""ja"":""'il' の場合、未来形の語尾は 'a' で、'aur-' に加えます。"",""fr"":""Pour 'il', la terminaison du futur est 'a' ajoutée à 'aur-'.""}"
4da0014d-dadd-4d67-8df9-798d5626ecac,2c02b05a-b405-4525-a017-4b55ee872f26,Futur Simple,elle,elle,FALSE,aur,a,"{""av"",""a"",""ser""}","{""as"",""ai"",""e""}",,,,,Simple tense; irregular stem 'aur-' + ending 'a'.,"{""en"":""For 'elle', use 'aura' (stem 'aur-' + 'a')."",""zh"":""对于 'elle'，使用 'aura'（词根 'aur-' + 'a'）。"",""ja"":""'elle' の場合、'aura'（語幹 'aur-' + 'a'）を使います。"",""fr"":""Pour 'elle', utilisez 'aura' (radical 'aur-' + 'a').""}"
1fcb9c26-0091-4277-a9d3-415fa1ebb254,2c02b05a-b405-4525-a017-4b55ee872f26,Futur Simple,nous,nous,FALSE,aur,ons,"{""av"",""a"",""ser""}","{""ez"",""ont"",""ions""}",,,,,Simple tense; irregular stem 'aur-' + ending 'ons'.,"{""en"":""For 'nous', add 'ons' to the stem 'aur-'."",""zh"":""对于 'nous'，在词根 'aur-' 后加上 'ons'。"",""ja"":""'nous' の場合、語幹 'aur-' に 'ons' を加えます。"",""fr"":""Pour 'nous', ajoutez 'ons' au radical 'aur-'.""}"
0a6871d8-f146-41c1-95d5-dc030ea61505,2c02b05a-b405-4525-a017-4b55ee872f26,Futur Simple,vous,vous,FALSE,aur,ez,"{""av"",""a"",""ser""}","{""ons"",""ont"",""iez""}",,,,,Simple tense; irregular stem 'aur-' + ending 'ez'.,"{""en"":""For 'vous', add 'ez' to the stem 'aur-'."",""zh"":""对于 'vous'，在词根 'aur-' 后加上 'ez'。"",""ja"":""'vous' の場合、語幹 'aur-' に 'ez' を加えます。"",""fr"":""Pour 'vous', ajoutez 'ez' au radical 'aur-'.""}"
938fc4f2-805e-4a35-9b91-3047368be24c,2c02b05a-b405-4525-a017-4b55ee872f26,Futur Simple,ils,ils,FALSE,aur,ont,"{""av"",""a"",""ser""}","{""ent"",""ez"",""ons""}",,,,,Simple tense; irregular stem 'aur-' + ending 'ont'.,"{""en"":""For 'ils', the ending is 'ont', added to 'aur-'."",""zh"":""对于 'ils'，词尾是 'ont'，加在 'aur-' 后。"",""ja"":""'ils' の場合、語尾は 'ont' で、'aur-' に加えます。"",""fr"":""Pour 'ils', la terminaison est 'ont', ajoutée à 'aur-'.""}"
288695e7-c345-4cf2-b4da-030fecfaaaaa,2c02b05a-b405-4525-a017-4b55ee872f26,Futur Simple,elles,elles,FALSE,aur,ont,"{""av"",""a"",""ser""}","{""ent"",""ez"",""ons""}",,,,,Simple tense; irregular stem 'aur-' + ending 'ont'.,"{""en"":""For 'elles', use the same form as 'ils': 'auront'."",""zh"":""对于 'elles'，使用与 'ils' 相同的形式：'auront'。"",""ja"":""'elles' の場合、'ils' と同じ形 'auront' を使います。"",""fr"":""Pour 'elles', utilisez la même forme que pour 'ils' : 'auront'.""}"
925575d9-7a84-405d-8949-2c1d9bb57cd4,2c02b05a-b405-4525-a017-4b55ee872f26,Conditionnel Présent,je,j',FALSE,aur,ais,"{""av"",""a"",""ser""}","{""ai"",""as"",""ois""}",,,,,Simple tense; irregular stem 'aur-' + ending 'ais'.,"{""en"":""The conditional uses the future stem 'aur-'. For 'je', add 'ais'."",""zh"":""条件式使用将来时词根 'aur-'。对于 'je'，加上 'ais'。"",""ja"":""条件法は未来形の語幹 'aur-' を使います。'je' には 'ais' を加えます。"",""fr"":""Le conditionnel utilise le radical du futur 'aur-'. Pour 'je', ajoutez 'ais'.""}"
b262706b-c4d6-4a16-8fb4-d4accc132880,2c02b05a-b405-4525-a017-4b55ee872f26,Conditionnel Présent,tu,tu,FALSE,aur,ais,"{""av"",""a"",""ser""}","{""ai"",""as"",""ois""}",,,,,Simple tense; irregular stem 'aur-' + ending 'ais'.,"{""en"":""For 'tu', use the stem 'aur-' and add 'ais'."",""zh"":""对于 'tu'，使用词根 'aur-' 并加上 'ais'。"",""ja"":""'tu' の場合、語幹 'aur-' に 'ais' を加えます。"",""fr"":""Pour 'tu', utilisez le radical 'aur-' et ajoutez 'ais'.""}"
61ac1d4b-81ab-4c80-94f4-1df67f5d8b8d,2c02b05a-b405-4525-a017-4b55ee872f26,Conditionnel Présent,il,il,FALSE,aur,ait,"{""av"",""a"",""ser""}","{""a"",""ais"",""it""}",,,,,Simple tense; irregular stem 'aur-' + ending 'ait'.,"{""en"":""For 'il', the ending is 'ait' added to 'aur-'."",""zh"":""对于 'il'，词尾是 'ait'，加在 'aur-' 后。"",""ja"":""'il' の場合、語尾は 'ait' で、'aur-' に加えます。"",""fr"":""Pour 'il', la terminaison est 'ait', ajoutée à 'aur-'.""}"
16987526-c689-4b4d-b16a-7cc0f5c8d3a3,2c02b05a-b405-4525-a017-4b55ee872f26,Conditionnel Présent,elle,elle,FALSE,aur,ait,"{""av"",""a"",""ser""}","{""a"",""ais"",""it""}",,,,,Simple tense; irregular stem 'aur-' + ending 'ait'.,"{""en"":""For 'elle', use 'aurait' (stem 'aur-' + 'ait')."",""zh"":""对于 'elle'，使用 'aurait'（词根 'aur-' + 'ait'）。"",""ja"":""'elle' の場合、'aurait'（語幹 'aur-' + 'ait'）を使います。"",""fr"":""Pour 'elle', utilisez 'aurait' (radical 'aur-' + 'ait').""}"
13f0ddbc-8277-4b49-8327-fd1b1c87392c,2c02b05a-b405-4525-a017-4b55ee872f26,Conditionnel Présent,nous,nous,FALSE,aur,ions,"{""av"",""a"",""ser""}","{""ons"",""iez"",""ais""}",,,,,Simple tense; irregular stem 'aur-' + ending 'ions'.,"{""en"":""For 'nous', add 'ions' to the stem 'aur-'."",""zh"":""对于 'nous'，在词根 'aur-' 后加上 'ions'。"",""ja"":""'nous' の場合、語幹 'aur-' に 'ions' を加えます。"",""fr"":""Pour 'nous', ajoutez 'ions' au radical 'aur-'.""}"
7627dedb-b4a6-4487-a101-6cf40d77d57a,2c02b05a-b405-4525-a017-4b55ee872f26,Conditionnel Présent,vous,vous,FALSE,aur,iez,"{""av"",""a"",""ser""}","{""ez"",""ions"",""ais""}",,,,,Simple tense; irregular stem 'aur-' + ending 'iez'.,"{""en"":""For 'vous', add 'iez' to the stem 'aur-'."",""zh"":""对于 'vous'，在词根 'aur-' 后加上 'iez'。"",""ja"":""'vous' の場合、語幹 'aur-' に 'iez' を加えます。"",""fr"":""Pour 'vous', ajoutez 'iez' au radical 'aur-'.""}"
779a07c1-3a43-42ba-ae2c-2b529a5b8217,2c02b05a-b405-4525-a017-4b55ee872f26,Conditionnel Présent,ils,ils,FALSE,aur,aient,"{""av"",""a"",""ser""}","{""ont"",""ent"",""ais""}",,,,,Simple tense; irregular stem 'aur-' + ending 'aient'.,"{""en"":""For 'ils', the ending is 'aient' added to 'aur-'."",""zh"":""对于 'ils'，词尾是 'aient'，加在 'aur-' 后。"",""ja"":""'ils' の場合、語尾は 'aient' で、'aur-' に加えます。"",""fr"":""Pour 'ils', la terminaison est 'aient', ajoutée à 'aur-'.""}"
16c040df-30d0-4fa5-a30c-62f073b6898b,2c02b05a-b405-4525-a017-4b55ee872f26,Conditionnel Présent,elles,elles,FALSE,aur,aient,"{""av"",""a"",""ser""}","{""ont"",""ent"",""ais""}",,,,,Simple tense; irregular stem 'aur-' + ending 'aient'.,"{""en"":""For 'elles', use the same form as 'ils': 'auraient'."",""zh"":""对于 'elles'，使用与 'ils' 相同的形式：'auraient'。"",""ja"":""'elles' の場合、'ils' と同じ形 'auraient' を使います。"",""fr"":""Pour 'elles', utilisez la même forme que pour 'ils' : 'auraient'.""}"
1edd8b52-3cd2-40ec-afb4-0e6a7bef319d,2c02b05a-b405-4525-a017-4b55ee872f26,Subjonctif Présent,je,Que j',FALSE,aie,,"{""ai"",""ay"",""av""}",,,,,,Simple tense; irregular form 'aie'.,"{""en"":""The subjunctive of 'avoir' is irregular. For 'je', use 'aie'."",""zh"":""'avoir' 的虚拟式是不规则的。对于 'je'，使用 'aie'。"",""ja"":""'avoir' の接続法は不規則です。'je' には 'aie' を使います。"",""fr"":""Le subjonctif de 'avoir' est irrégulier. Pour 'je', utilisez 'aie'.""}"
6c91683a-bca2-454e-8b1a-b04a8905e06e,2c02b05a-b405-4525-a017-4b55ee872f26,Subjonctif Présent,tu,Que tu,FALSE,aies,,"{""aie"",""ay"",""av""}",,,,,,Simple tense; irregular form 'aies'.,"{""en"":""For 'tu', the subjunctive form is 'aies'."",""zh"":""对于 'tu'，虚拟式形式是 'aies'。"",""ja"":""'tu' の場合、接続法の形は 'aies' です。"",""fr"":""Pour 'tu', la forme du subjonctif est 'aies'.""}"
e7e66a96-e109-4db3-8086-6b94f95b2d83,2c02b05a-b405-4525-a017-4b55ee872f26,Subjonctif Présent,il,Qu'il,FALSE,ait,,"{""aie"",""ay"",""av""}",,,,,,Simple tense; irregular form 'ait'.,"{""en"":""For 'il', the subjunctive form is 'ait'."",""zh"":""对于 'il'，虚拟式形式是 'ait'。"",""ja"":""'il' の場合、接続法の形は 'ait' です。"",""fr"":""Pour 'il', la forme du subjonctif est 'ait'.""}"
8e64835e-cc35-4f2f-a2cb-c1e6ceddd084,2c02b05a-b405-4525-a017-4b55ee872f26,Subjonctif Présent,elle,Qu'elle,FALSE,ait,,"{""aie"",""ay"",""av""}",,,,,,Simple tense; irregular form 'ait'.,"{""en"":""For 'elle', use 'ait', just like 'il'."",""zh"":""对于 'elle'，使用 'ait'，就像 'il' 一样。"",""ja"":""'elle' の場合、'il' と同様に 'ait' を使います。"",""fr"":""Pour 'elle', utilisez 'ait', tout comme 'il'.""}"
7f47e3eb-da24-4851-b3f2-9c6826179e17,2c02b05a-b405-4525-a017-4b55ee872f26,Subjonctif Présent,nous,Que nous,FALSE,ayons,,"{""aie"",""avions"",""ayez""}",,,,,,Simple tense; irregular form 'ayons'.,"{""en"":""For 'nous', the subjunctive form is 'ayons'."",""zh"":""对于 'nous'，虚拟式形式是 'ayons'。"",""ja"":""'nous' の場合、接続法の形は 'ayons' です。"",""fr"":""Pour 'nous', la forme du subjonctif est 'ayons'.""}"
b094dd61-e7e2-40a7-a663-e9406b3f192d,2c02b05a-b405-4525-a017-4b55ee872f26,Subjonctif Présent,vous,Que vous,FALSE,ayez,,"{""aie"",""aviez"",""ayons""}",,,,,,Simple tense; irregular form 'ayez'.,"{""en"":""For 'vous', the subjunctive form is 'ayez'."",""zh"":""对于 'vous'，虚拟式形式是 'ayez'。"",""ja"":""'vous' の場合、接続法の形は 'ayez' です。"",""fr"":""Pour 'vous', la forme du subjonctif est 'ayez'.""}"
d758c090-e06e-48ea-a2eb-33bf38e450f4,2c02b05a-b405-4525-a017-4b55ee872f26,Subjonctif Présent,ils,Qu'ils,FALSE,aient,,"{""aie"",""ay"",""ont""}",,,,,,Simple tense; irregular form 'aient'.,"{""en"":""For 'ils', the subjunctive form is 'aient'."",""zh"":""对于 'ils'，虚拟式形式是 'aient'。"",""ja"":""'ils' の場合、接続法の形は 'aient' です。"",""fr"":""Pour 'ils', la forme du subjonctif est 'aient'.""}"
17a4d6e0-c2e3-413f-b722-37d695e64eff,2c02b05a-b405-4525-a017-4b55ee872f26,Subjonctif Présent,elles,Qu'elles,FALSE,aient,,"{""aie"",""ay"",""ont""}",,,,,,Simple tense; irregular form 'aient'.,"{""en"":""For 'elles', use the same form as 'ils': 'aient'."",""zh"":""对于 'elles'，使用与 'ils' 相同的形式：'aient'。"",""ja"":""'elles' の場合、'ils' と同じ形 'aient' を使います。"",""fr"":""Pour 'elles', utilisez la même forme que pour 'ils' : 'aient'.""}"
d1d1f324-ec97-48e9-9878-449b313d076c,2c02b05a-b405-4525-a017-4b55ee872f26,Passé Composé,je,j',FALSE,eu,,"{""été"",""eue"",""eus""}",,ai,,"{""suis"",""as"",""a""}",,Compound tense using avoir; past participle 'eu'.,"{""en"":""The past participle of 'avoir' is 'eu'. Use auxiliary 'ai'."",""zh"":""'avoir' 的过去分词是 'eu'。使用助动词 'ai'。"",""ja"":""'avoir' の過去分詞は 'eu' です。助動詞 'ai' を使います。"",""fr"":""Le participe passé de 'avoir' est 'eu'. Utilisez l'auxiliaire 'ai'.""}"
361edae1-cde8-4c4f-84dc-c090a46a4f6e,2c02b05a-b405-4525-a017-4b55ee872f26,Passé Composé,tu,tu,FALSE,eu,,"{""été"",""eue"",""eus""}",,as,,"{""es"",""ai"",""a""}",,Compound tense using avoir; past participle 'eu'.,"{""en"":""For 'tu', use 'as' + 'eu'."",""zh"":""对于 'tu'，使用 'as' + 'eu'。"",""ja"":""'tu' の場合、'as' + 'eu' を使います。"",""fr"":""Pour 'tu', utilisez 'as' + 'eu'.""}"
493d47e8-8a7d-4bab-b5ac-6d424a1664f5,2c02b05a-b405-4525-a017-4b55ee872f26,Passé Composé,il,il,FALSE,eu,,"{""été"",""eue"",""eus""}",,a,,"{""est"",""as"",""ai""}",,Compound tense using avoir; past participle 'eu'.,"{""en"":""For 'il', use 'a' + 'eu'."",""zh"":""对于 'il'，使用 'a' + 'eu'。"",""ja"":""'il' の場合、'a' + 'eu' を使います。"",""fr"":""Pour 'il', utilisez 'a' + 'eu'.""}"
7da96b8c-4f7b-4029-854e-20dd0c746457,2c02b05a-b405-4525-a017-4b55ee872f26,Passé Composé,elle,elle,FALSE,eu,,"{""eue"",""été"",""eus""}",,a,,"{""est"",""as"",""ai""}",,Compound tense using avoir; past participle 'eu' (invariant).,"{""en"":""For 'elle', use 'a' + 'eu'. The participle does not agree with the subject."",""zh"":""对于 'elle'，使用 'a' + 'eu'。分词不与主语配合。"",""ja"":""'elle' の場合、'a' + 'eu' を使います。過去分詞は主語と一致しません。"",""fr"":""Pour 'elle', utilisez 'a' + 'eu'. Le participe ne s'accorde pas avec le sujet.""}"
2756b31a-10d4-43a6-91d0-05b369af636c,2c02b05a-b405-4525-a017-4b55ee872f26,Passé Composé,nous,nous,FALSE,eu,,"{""été"",""eue"",""eus""}",,avons,,"{""sommes"",""avez"",""ont""}",,Compound tense using avoir; past participle 'eu'.,"{""en"":""For 'nous', use 'avons' + 'eu'."",""zh"":""对于 'nous'，使用 'avons' + 'eu'。"",""ja"":""'nous' の場合、'avons' + 'eu' を使います。"",""fr"":""Pour 'nous', utilisez 'avons' + 'eu'.""}"
1c4a50bf-10d4-4d11-8269-5de9f7e08c27,2c02b05a-b405-4525-a017-4b55ee872f26,Passé Composé,vous,vous,FALSE,eu,,"{""été"",""eue"",""eus""}",,avez,,"{""êtes"",""avons"",""ont""}",,Compound tense using avoir; past participle 'eu'.,"{""en"":""For 'vous', use 'avez' + 'eu'."",""zh"":""对于 'vous'，使用 'avez' + 'eu'。"",""ja"":""'vous' の場合、'avez' + 'eu' を使います。"",""fr"":""Pour 'vous', utilisez 'avez' + 'eu'.""}"
e3a5e3b3-930f-4599-abd4-68e2e3b045a2,2c02b05a-b405-4525-a017-4b55ee872f26,Passé Composé,ils,ils,FALSE,eu,,"{""été"",""eue"",""eus""}",,ont,,"{""sont"",""avez"",""a""}",,Compound tense using avoir; past participle 'eu'.,"{""en"":""For 'ils', use 'ont' + 'eu'."",""zh"":""对于 'ils'，使用 'ont' + 'eu'。"",""ja"":""'ils' の場合、'ont' + 'eu' を使います。"",""fr"":""Pour 'ils', utilisez 'ont' + 'eu'.""}"
49810262-f0ce-4e07-9285-a79ff3e8076c,2c02b05a-b405-4525-a017-4b55ee872f26,Passé Composé,elles,elles,FALSE,eu,,"{""eue"",""été"",""eus""}",,ont,,"{""sont"",""avez"",""a""}",,Compound tense using avoir; past participle 'eu' (invariant).,"{""en"":""For 'elles', use 'ont' + 'eu'. No agreement."",""zh"":""对于 'elles'，使用 'ont' + 'eu'。不配合。"",""ja"":""'elles' の場合、'ont' + 'eu' を使います。一致はありません。"",""fr"":""Pour 'elles', utilisez 'ont' + 'eu'. Pas d'accord.""}"
81fec8ae-8199-4d76-a77b-71b090bcecc3,2c02b05a-b405-4525-a017-4b55ee872f26,Plus-que-parfait,je,j',FALSE,eu,,"{""été"",""eue"",""eus""}",,av,ais,"{""ét"",""aur"",""a""}","{""ait"",""as"",""ai""}",Compound tense using avoir (imparfait) + 'eu'.,"{""en"":""The plus-que-parfait uses 'avoir' in imperfect + 'eu'."",""zh"":""愈过去时使用 'avoir' 的未完成过去时 + 'eu'。"",""ja"":""大過去は 'avoir' の半過去 + 'eu' を使います。"",""fr"":""Le plus-que-parfait utilise 'avoir' à l'imparfait + 'eu'.""}"
00eda554-6800-43aa-825a-9e6878227029,2c02b05a-b405-4525-a017-4b55ee872f26,Plus-que-parfait,tu,tu,FALSE,eu,,"{""été"",""eue"",""eus""}",,av,ais,"{""ét"",""aur"",""a""}","{""ait"",""as"",""ai""}",Compound tense using avoir (imparfait) + 'eu'.,"{""en"":""For 'tu', use 'avais' + 'eu'."",""zh"":""对于 'tu'，使用 'avais' + 'eu'。"",""ja"":""'tu' の場合、'avais' + 'eu' を使います。"",""fr"":""Pour 'tu', utilisez 'avais' + 'eu'.""}"
688f7b46-c8b4-4136-b050-7969300be02c,2c02b05a-b405-4525-a017-4b55ee872f26,Plus-que-parfait,il,il,FALSE,eu,,"{""été"",""eue"",""eus""}",,av,ait,"{""ét"",""aur"",""a""}","{""ais"",""a"",""it""}",Compound tense using avoir (imparfait) + 'eu'.,"{""en"":""For 'il', use 'avait' + 'eu'."",""zh"":""对于 'il'，使用 'avait' + 'eu'。"",""ja"":""'il' の場合、'avait' + 'eu' を使います。"",""fr"":""Pour 'il', utilisez 'avait' + 'eu'.""}"
